1;PT Bumi Indah Asri;Real Estate;Apartment Akasa, Upper West;Kabupaten Tangerang;100%;2014;Belum Beroperasi;584.155
2;PT Bumi Karawang Damai;Real Estate;-;Karawang;99,50%;2012;Praoperasi;85
3;PT Bumi Paramudita Mas;Real Estate;-;Surabaya;100%;2011;Praoperasi;101.921
4;PT Bumi Tirta Mas;Real Estate;-;Tangerang Selatan;100%;2015;Praoperasi;188
5;PT Bumi Wisesa Jaya;Real Estate;-;Kabupaten Tangerang; 100%;2013;Praoperasi;113.593
6;PT Duta Cakra Pesona;Real Estate;Sinar Mas MSIG Tower, Bakrie Tower;Kabupaten Tangerang;100%;2014;Beroperasi;4.372.539
7;PT Duta Mitra Mas;Real Estate;-;Kabupaten Tangerang;100%;2013;Praoperasi;97
8;PT Duta Pertiwi Tbk;Real Estate;ITC Mangga Dua, ITC Fatmawati, ITC Cempaka Mas, Roxy Mas;Jakarta Utara;88,56%;2010;Beroperasi;15.586.178
9;PT Garwita Sentra Utama;Real Estate;Qbig, GS Retail;Kabupaten Tangerang;100%;2013;Beroperasi;264.335
10;Global Prime Capital Pte. Ltd.;Treasury Management And Related Services;Global Prime Treasury Pte. Ltd.;Singapore;100%;2015;Beroperasi;4.324.522
11;PT Laksya Prima Lestari;Real Estate;-;Kabupaten Tangerang;100%;2015;Praoperasi;67
12;PT Pastika Candra Pertiwi;Real Estate;Investasi Proyek Makassar;Kabupaten Tangerang;100%;2013;Praoperasi;425.392
13;PT Praba Selaras Pratama;Pengelolaan Transportasi Kawasan;Investasi di AEON Mall;Kabupaten Tangerang;99,99%;2012;Beroperasi;386.642
14;PT Satwika Cipta Lestari;Real Estate;-;Kabupaten Tangerang;100%;2015;Beroperasi;8.421
15;PT Sentra Selaras Lestari;Real Estate;Investasi Proyek Surabaya;Kabupaten Tangerang;100%;2013;Belum Beroperasi;273.640
16;PT Sentra Talenta Utama;Real Estate;Investasi Proyek Manado;Kabupaten Tangerang;100%;2012;Belum Beroperasi;204.220
17;PT Serpong Mas Media;Investasi;Investasi Proyek Serpong;Kabupaten Tangerang;100%;2020;Belum Beroperasi;109.481
18;PT Sinar Mas Teladan;Gedung Perkantoran, Mixed-Use;Sinar Mas Land Office Building, Rasuna - Episentrum;Jakarta Pusat;72,68%;2010;Beroperasi;2.567.644
19;PT Sinar Mas Wasesa;Real Estate;Balikpapan Baru, Grand City Balikpapan;Jakarta Utara;55%;2010;Beroperasi;1.584.475
20;PT Sinar Pertiwi Megah;Real Estate;-;Kabupaten Tangerang;100%;2013;Praoperasi;392.911
21;PT Sinar Usaha Mahitala;Real Estate;-;Kabupaten Tangerang;100%;2012;Praoperasi;86.224
22;PT Sumber Makmur Semesta;Real Estate;-;Kabupaten Tangerang;100%;2015;Praoperasi;1.024
23;PT Surya Inter Wisesa;Real Estate;-;Kabupaten Tangerang;100%;2012;Praoperasi;27.548
24;PT Trans Bumi Serbaraja;Jalan Tol;Jalan Tol Serpong - Balaraja;Kabupaten Tangerang;100%;2016;Praoperasi;4.529.264
25;PT TransBSD Balaraja;Jalan Tol;Jalan Tol Serpong - Balaraja;Kabupaten Tangerang;100%;2013;Belum Beroperasi;127
26;PT Wahana Swasa Utama;Real Estate;-;Kota Tangerang Selatan;100%;2015;Praoperasi;43.172
27;PT A;Transportasi;Jalan Tol;Kota Malang;55%;2000;Beroperasi;1.000.000
28;PT B;Real Estate;Perumahan;Kota Surabaya;75%;2024;Praoperasi;1.000
